id,name,type,type_other,location,location_other,status,condition_notes,last_shopped,image_url,created_at,updated_at
,Star Wars: The Mandalorian,Pinball,,Replay,,Operational,,,,,
,Stranger Things,Pinball,,Replay,,Operational,,,,,
,Black Knight: Sword of Rage,Pinball,,Replay,,Operational,,,,,
,Deadpool,Pinball,,Replay,,Operational,,,,,
,Iron Maiden: Legacy of the Beast,Pinball,,Replay,,Operational,,,,,
,Guardians of the Galaxy,Pinball,,Replay,,Operational,,,,,
,Star Wars: The Mandalorian,Pinball,,Replay,,Operational,,,,,
,Aerosmith,Pinball,,Replay,,Operational,,,,,
,Ghostbusters,Pinball,,Replay,,Operational,,,,,
,Game of Thrones,Pinball,,Replay,,Operational,,,,,
,Walking Dead,Pinball,,Replay,,Operational,,,,,
,Metallica,Pinball,,Replay,,Operational,,,,,
,Star Trek,Pinball,,Replay,,Operational,,,,,
,Wolverine,Pinball,,Replay,,Operational,,,,,
,AC/DC,Pinball,,Replay,,Operational,,,,,
,Iron Man,Pinball,,Replay,,Operational,,,,,
,Family Guy,Pinball,,Replay,,Operational,,,,,
,Spiderman,Pinball,,Replay,,Operational,,,,,
,Avatar,Pinball,,Replay,,Operational,,,,,
,The Simpsons,Pinball,,Replay,,Operational,,,,,
,Ultraman - Kaiju Rumble,Pinball,,Replay,,Operational,,,,,
,Total Nuclear Annihilation ,Pinball,,Replay,,Operational,,,,,
,Rick and Morty,Pinball,,Replay,,Operational,,,,,
,Halloween,Pinball,,Replay,,Operational,,,,,
,Monster Bash - REMAKE,Pinball,,Replay,,Operational,,,,,
,Medieval Madness - ORIGINAL,Pinball,,Replay,,Operational,,,,,
,Tales of the Arabian Nights,Pinball,,Replay,,Operational,,,,,
,Theatre of Magic,Pinball,,Replay,,Operational,,,,,
,Attack from Mars,Pinball,,Replay,,Operational,,,,,
,No Fear,Pinball,,Replay,,Operational,,,,,
,The Who's - Tommy,Pinball,,Replay,,Operational,,,,,
,Road Show,Pinball,,Replay,,Operational,,,,,
,Dracula,Pinball,,Replay,,Operational,,,,,
,Twilight Zone,Pinball,,Replay,,Operational,,,,,
,Star Trek - The Next Generation,Pinball,,Replay,,Operational,,,,,
,Lord of the Rings,Pinball,,Replay,,Operational,,,,,
,Butterfly (old machine),Pinball,,Replay,,Operational,,,,,
,Road Race (old machine),Pinball,,Replay,,Operational,,,,,
,Paul Bunyan (old machine),Pinball,,Replay,,Operational,,,,,
,Strike Zone (old machine),Pinball,,Replay,,Operational,,,,,
,Fast Draw (old machine),Pinball,,Replay,,Operational,,,,,
,Surf Champ (old machine),Pinball,,Replay,,Operational,,,,,
,Aztec (old machine),Pinball,,Replay,,Operational,,,,,
,Old Chicago (old machine),Pinball,,Replay,,Operational,,,,,
,Capt. Fantastic (old machine),Pinball,,Replay,,Operational,,,,,
,Big Deal (old machine),Pinball,,Replay,,Operational,,,,,
,Jungle Queen (old machine),Pinball,,Replay,,Operational,,,,,
,Flight 2000,Pinball,,Replay,,Operational,,,,,
,Centaur,Pinball,,Replay,,Operational,,,,,
,Orbitor 1,Pinball,,Replay,,Operational,,,,,
,Black Hole,Pinball,,Replay,,Operational,,,,,
,Haunted House,Pinball,,Replay,,Operational,,,,,
,Grand Lizard,Pinball,,Replay,,Operational,,,,,
,Earthshaker,Pinball,,Replay,,Operational,,,,,
,Black Knight 2000,Pinball,,Replay,,Operational,,,,,
,Bad Cats,Pinball,,Replay,,Operational,,,,,
,Funhouse,Pinball,,Replay,,Operational,,,,,
,Back to the Future,Pinball,,Replay,,Operational,,,,,
,Terminator 2: Judgment Day,Pinball,,Replay,,Operational,,,,,
,Addams Family,Pinball,,Replay,,Operational,,,,,
,Creature from the Black Lagoon,Pinball,,Replay,,Operational,,,,,
,Whitewater,Pinball,,Replay,,Operational,,,,,
,Jurassic Park,Pinball,,Replay,,Operational,,,,,
,Judge Dredd,Pinball,,Replay,,Operational,,,,,
,Hercules,Pinball,,Replay,,Operational,,,,,
,Tron ,Arcade,,Replay,,Operational,,,,,
,The Simpsons,Arcade,,Replay,,Operational,,,,,
,Teenage Mutant Ninja Turtles: Turtles in Time,Arcade,,Replay,,Operational,,,,,
,Track & Field,Arcade,,Replay,,Operational,,,,,
,Dr. Mario,Arcade,,Replay,,Operational,,,,,
,Ms. Pac-Man - table,Arcade,,Replay,,Operational,,,,,
,Astro City - Game 1,Arcade,,Replay,,Operational,,,,,
,Astro City - Game 2,Arcade,,Replay,,Operational,,,,,
,Night Striker,Arcade,,Replay,,Operational,,,,,
,Burger Time,Arcade,,Replay,,Operational,,,,,
,Dragon's Lair,Arcade,,Replay,,Operational,,,,,
,Donkey Kong Jr.,Arcade,,Replay,,Operational,,,,,
,Donkey Kong  ,Arcade,,Replay,,Operational,,,,,
,Fix It Felix,Arcade,,Replay,,Operational,,,,,
,Galaga,Arcade,,Replay,,Operational,,,,,
,Ms. Pac-Man  ,Arcade,,Replay,,Operational,,,,,
,Gauntlet,Arcade,,Replay,,Operational,,,,,
,"Ms. Pac-Man 1/2 arcade, 1/2 pinball",Arcade,,Replay,,Operational,,,,,
,Pac-Man,Arcade,,Replay,,Operational,,,,,
,Super Mario Bros.,Arcade,,Replay,,Operational,,,,,
,PlayChoice,Arcade,,Replay,,Operational,,,,,
,Frogger,Arcade,,Replay,,Operational,,,,,
,Ms. Pac-Man/Galaga,Arcade,,Replay,,Operational,,,,,
,Q-bert,Arcade,,Replay,,Operational,,,,,
,Bump n' Jump,Arcade,,Replay,,Operational,,,,,
,Atari Star Wars,Arcade,,Replay,,Operational,,,,,
,Root Beer Tapper,Arcade,,Replay,,Operational,,,,,
,Mercs,Arcade,,Replay,,Operational,,,,,
,SilverStrike Bowling,Arcade,,Replay,,Operational,,,,,
,Golden Tee Golf,Arcade,,Replay,,Operational,,,,,
,720',Arcade,,Replay,,Operational,,,,,
,Race Drivin',Arcade,,Replay,,Operational,,,,,
,NFL Blitz '99,Arcade,,Replay,,Operational,,,,,
,Toobin',Arcade,,Replay,,Operational,,,,,
,Encom Tron,Arcade,,Replay,,Operational,,,,,
,Tempest,Arcade,,Replay,,Operational,,,,,
,Atari Star Wars Return of the Jedi,Arcade,,Replay,,Operational,,,,,
,Capcon Street Fighter Alpha 2,Arcade,,Replay,,Operational,,,,,
,Joust,Arcade,,Replay,,Operational,,,,,
,Robotron 2004,Arcade,,Replay,,Operational,,,,,
,Punch-Out,Arcade,,Replay,,Operational,,,,,
,Street Fighter II Champion Edition,Arcade,,Replay,,Operational,,,,,
,Street Fighter II Champion Edition Turbo',Arcade,,Replay,,Operational,,,,,
,Neo Geo Multicade,Arcade,,Replay,,Operational,,,,,
,Killer Instinct 2,Arcade,,Replay,,Operational,,,,,
,Killer Instinct 2,Arcade,,Replay,,Operational,,,,,
,Mortal Kombat 4,Arcade,,Replay,,Operational,,,,,
,Mortal Kombat 3,Arcade,,Replay,,Operational,,,,,
,Mortal Kombat 2,Arcade,,Replay,,Operational,,,,,
,Mortal Kombat ,Arcade,,Replay,,Operational,,,,,
,Ice Cold Root Beer - New One,Arcade,,Replay,,Operational,,,,,
,Michael Jackson's Moonwalker,Arcade,,Replay,,Operational,,,,,
,X-Men,Arcade,,Replay,,Operational,,,,,
,Defender,Arcade,,Replay,,Operational,,,,,
,Centipede,Arcade,,Replay,,Operational,,,,,
,Neo Geo Metal Slug 3 and King of Fighters,Arcade,,Replay,,Operational,,,,,
,"Centipede, Missile Command, and Millipede",Arcade,,Replay,,Operational,,,,,
,Karate Champ,Arcade,,Replay,,Operational,,,,,
,Missile Command,Arcade,,Replay,,Operational,,,,,
,Spyhunter,Arcade,,Replay,,Operational,,,,,
,Out Run,Arcade,,Replay,,Operational,,,,,
,Arkanoid,Arcade,,Replay,,Operational,,,,,
,Commando,Arcade,,Replay,,Operational,,,,,
,Circus Charlie,Arcade,,Replay,,Operational,,,,,
,Classics 2,Arcade,,Replay,,Operational,,,,,
,Asteroid Deluxe,Arcade,,Replay,,Operational,,,,,
,Rolling Thunder,Arcade,,Replay,,Operational,,,,,
,NFL Blitz 2000 Gold Edition / NBA Show Time,Arcade,,Replay,,Operational,,,,,
,Shrek,Pinball,,Warehouse,,Operational,,,,,
,World Poker Tour,Pinball,,Warehouse,,Operational,,,,,
,NBA Fast Break,Pinball,,Warehouse,,Operational,,,,,
,Star Wars Trilogy - Special Edition,Pinball,,Warehouse,,Operational,,,,,
,The Getaway,Pinball,,Warehouse,,Operational,,,,,
,The Shadow,Pinball,,Warehouse,,Operational,,,,,
,Monster Bash,Pinball,,Warehouse,,Operational,,,,,
,Cirqus Voltaire,Pinball,,Warehouse,,Operational,,,,,
,The Machine,Pinball,,Warehouse,,Operational,,,,,
,Whirlwind,Pinball,,Warehouse,,Operational,,,,,
,Space Jam,Pinball,,Warehouse,,Operational,,,,,
,Willy Wonka and the Chocolate Factory,Pinball,,Warehouse,,Operational,,,,,
,The Avengers,Pinball,,Warehouse,,Operational,,,,,
,The Wizard of Oz,Pinball,,Warehouse,,Operational,,,,,
,Harley-Davidson Motorcycles,Pinball,,Warehouse,,Operational,,,,,
